id,lon,lat,angle,z_peak_first_copdem,z_peak_max_1km_copdem,x_peak_first_copdem,x_peak_max_1km_copdem,lu_peak_first_copdem,lu_peak_max_1km_copdem,z_peak_first_deltadtm,z_peak_max_1km_deltadtm,x_peak_first_deltadtm,x_peak_max_1km_deltadtm,lu_peak_first_deltadtm,lu_peak_max_1km_deltadtm,he,ev,doc,doc_used,x_doc,x_shoreline,ns,bs_deltadtm,bs_copdem,cs_deltadtm,cs_copdem,extraction_flag,tr_zone_width,coast_type_flag,veg_type,mdt,lu_trees,lu_shrub,lu_grass,lu_crop,lu_built,lu_barren,lu_snow,lu_water,lu_wet,lu_mangr,lu_moss,class_most,class_most_land
BOX_S38W058_0076,-57.088795,-37.446988,120.764776,1.59,9.58,50.0,900.0,Barren / sparse vegetation,Barren / sparse vegetation,2.13,4.98,50.0,900.0,Barren / sparse vegetation,Barren / sparse vegetation,6.95,4.33,12.8,8.64,-4000.0,-12.5,0.00228,0.03406,0.02548,0.00277,0.00264,3,70.9,Sandy,,0.53,0.0,0.0,39.68,0.01,0.0,50.65,0.0,8.37,1.3,0.0,0.0,Barren / sparse vegetation,Barren / sparse vegetation
BOX_S38W058_0034,-57.403682,-37.7297,130.486343,3.91,3.92,125.0,225.0,Barren / sparse vegetation,Grassland,3.83,3.83,250.0,250.0,Grassland,Grassland,1.58,0.63,13.35,5.77,-4000.0,87.5,0.00153,0.0236,0.10422,0.00237,0.00246,3,127.6,Sandy,Salt-marshes,0.54,0.9,0.12,61.12,0.01,0.15,3.98,0.0,20.76,12.95,0.0,0.0,Grassland,Grassland
BOX_S40W058_0052,-57.540127,-38.08567,98.329162,3.96,25.35,25.0,750.0,Built-up,Grassland,4.62,25.97,25.0,800.0,Built-up,Built-up,27.49,51.25,13.33,13.33,-1459.2,-62.5,0.00988,0.05281,0.0452,0.01242,0.01197,0,46.4,Sandy,,0.53,38.81,0.13,30.82,1.09,21.23,1.46,0.0,6.46,0.0,0.0,0.0,Trees,Trees
BOX_S40W060_0180,-58.047461,-38.374684,150.842474,8.21,15.48,-50.0,125.0,Grassland,Barren / sparse vegetation,4.7,10.81,-175.0,300.0,Barren / sparse vegetation,Grassland,10.07,3.69,12.83,12.83,-2585.7,-199.0,0.00559,0.19587,0.05722,0.00749,0.0085,0,41.4,Sandy,,0.54,0.19,0.0,15.99,72.43,0.0,6.62,0.0,4.72,0.05,0.0,0.0,Cropland,Cropland
BOX_S40W060_0128,-58.594626,-38.557073,165.347786,8.68,11.58,175.0,400.0,Barren / sparse vegetation,Barren / sparse vegetation,1.33,8.79,-75.0,700.0,Barren / sparse vegetation,Barren / sparse vegetation,13.17,16.42,12.18,12.18,-2243.8,-96.7,0.00593,0.06114,0.03299,0.00648,0.00885,0,113.0,Sandy,,0.55,0.22,0.0,13.0,50.55,0.0,29.75,0.0,6.49,0.0,0.0,0.0,Cropland,Cropland
BOX_S40W060_0072,-59.203629,-38.71373,169.791674,6.59,12.59,225.0,875.0,Barren / sparse vegetation,Barren / sparse vegetation,6.31,7.9,225.0,875.0,Barren / sparse vegetation,Barren / sparse vegetation,11.27,11.4,11.74,11.74,-2121.6,63.7,0.00565,0.03913,0.04071,0.00795,0.00807,0,118.1,Sandy,,0.57,8.39,0.28,19.03,28.36,0.02,34.16,0.0,9.76,0.0,0.0,0.0,Barren / sparse vegetation,Barren / sparse vegetation
BOX_S40W060_0019,-59.79485,-38.8265,169.97152,7.34,9.02,200.0,825.0,Barren / sparse vegetation,Barren / sparse vegetation,4.74,7.76,75.0,850.0,Barren / sparse vegetation,Barren / sparse vegetation,10.34,10.14,11.71,11.71,-2246.3,-41.0,0.00561,0.04085,0.03105,0.00737,0.00805,0,513.5,Sandy,,0.6,0.0,0.0,49.21,3.23,0.0,34.36,0.0,10.94,2.26,0.0,0.0,Grassland,Grassland
BOX_S40W062_0195,-60.413276,-38.916651,169.206084,3.73,3.73,25.0,25.0,Barren / sparse vegetation,Barren / sparse vegetation,2.05,3.12,25.0,700.0,Barren / sparse vegetation,Grassland,8.13,25.06,10.74,10.74,-3321.4,-45.4,0.00351,0.02906,0.05379,0.00405,0.00455,0,470.0,Sandy,,0.63,2.88,0.09,64.26,0.04,0.0,25.15,0.0,6.94,0.63,0.0,0.0,Grassland,Grassland
BOX_S40W064_0556,-62.336182,-39.079254,127.425312,,,,,,,,,,,,,,,,,,,,,,,,123,,Muddy,,0.62,0.0,23.77,14.09,50.04,0.01,11.66,0.0,0.43,0.0,0.0,0.0,Cropland,Cropland
BOX_S40W064_0520,-62.293615,-39.269947,348.77714,,,,,,,0.59,1.36,75.0,225.0,Shrubland,Shrubland,0.81,0.14,10.33,-0.11,-300.0,-18.8,0.00405,0.00632,,0.00462,,3,914.5,Muddy,,0.62,0.0,63.01,0.8,0.0,0.08,25.08,0.0,7.7,3.34,0.0,0.0,Shrubland,Shrubland
