id,lon,lat,angle,z_peak_first_copdem,z_peak_max_1km_copdem,x_peak_first_copdem,x_peak_max_1km_copdem,lu_peak_first_copdem,lu_peak_max_1km_copdem,z_peak_first_deltadtm,z_peak_max_1km_deltadtm,x_peak_first_deltadtm,x_peak_max_1km_deltadtm,lu_peak_first_deltadtm,lu_peak_max_1km_deltadtm,he,ev,doc,doc_used,x_doc,x_shoreline,ns,bs_deltadtm,bs_copdem,cs_deltadtm,cs_copdem,extraction_flag,tr_zone_width,coast_type_flag,veg_type,mdt,lu_trees,lu_shrub,lu_grass,lu_crop,lu_built,lu_barren,lu_snow,lu_water,lu_wet,lu_mangr,lu_moss,class_most,class_most_land
BOX_N48E140_0075,140.168734,48.443895,134.782853,3.28,9.5,0.0,400.0,Herbaceous wetland,Trees,2.35,2.87,0.0,150.0,Herbaceous wetland,Trees,62.9,2268.29,10.05,4.51,-475.0,-47.5,0.01075,0.04943,0.07072,0.01462,0.01658,3,23.7,Vegetated,,0.46,62.68,0.0,2.1,0.12,0.0,0.26,0.0,31.65,3.19,0.0,0.0,Trees,Trees
BOX_N48E138_0015,139.668529,48.097434,120.71441,39.62,158.79,175.0,975.0,Trees,Trees,40.02,157.61,175.0,1025.0,Trees,Trees,232.71,13127.9,10.06,10.06,-214.3,87.5,0.03359,0.4574,0.45286,0.12885,0.12783,0,82.7,Rocky,,0.5,89.15,0.0,1.22,0.0,0.0,0.1,0.0,9.53,0.0,0.0,0.0,Trees,Trees
BOX_N46E138_0212,139.21971,47.728733,116.88722,96.5,217.7,425.0,925.0,Trees,Trees,94.34,217.67,425.0,925.0,Trees,Trees,242.75,3333.19,10.35,10.35,-203.6,162.5,0.02852,0.35937,0.36761,0.16668,0.17012,0,73.7,Rocky,,0.53,86.27,0.0,2.66,0.0,0.0,0.02,0.0,11.05,0.0,0.0,0.0,Trees,Trees
BOX_N46E138_0160,138.972016,47.313913,169.900462,111.23,149.65,425.0,650.0,Trees,Trees,210.66,,1100.0,,Trees,,139.37,2750.31,10.35,10.35,-875.9,-24.7,0.01229,0.18731,0.24739,0.11191,0.09354,0,44.4,Rocky,,0.56,91.7,0.0,0.64,0.0,0.0,0.0,0.0,7.66,0.0,0.0,0.0,Trees,Trees
BOX_N46E138_0105,138.519639,46.957706,114.174264,61.57,61.57,100.0,100.0,Trees,Trees,62.65,62.65,100.0,100.0,Trees,Trees,138.08,10456.26,10.7,10.7,-864.7,-112.5,0.01438,0.29481,0.28976,0.07615,0.07504,0,69.1,Rocky,,0.62,92.25,0.0,0.93,0.0,0.0,0.35,0.0,6.46,0.0,0.0,0.0,Trees,Trees
BOX_N46E138_0055,138.339275,46.542993,107.551066,1.33,2.19,-25.0,725.0,Cropland,Built-up,2.26,3.56,-25.0,850.0,Cropland,Grassland,49.78,2839.22,10.84,10.84,-377.8,-71.9,0.03583,0.04811,0.02888,0.03746,0.03484,0,47.0,Sandy,,0.65,67.24,0.03,8.54,2.81,2.83,4.18,0.0,8.6,5.75,0.0,0.0,Trees,Trees
BOX_N46E136_0019,137.978906,46.126646,128.889027,26.92,39.07,250.0,725.0,Trees,Trees,17.14,39.12,150.0,825.0,Trees,Trees,140.32,7662.7,10.79,10.79,-1415.0,-96.4,0.00828,0.06956,0.07775,0.01793,0.02272,0,67.1,Sandy,,0.69,87.56,0.0,5.05,0.14,0.12,0.12,0.0,6.75,0.25,0.0,0.0,Trees,Trees
BOX_N44E136_0213,137.555968,45.728221,136.773452,197.82,197.82,500.0,500.0,Trees,Trees,32.53,195.93,100.0,500.0,Grassland,Trees,188.75,7812.47,10.78,10.78,-2998.2,75.5,0.00355,1.32772,0.46777,0.01402,0.05967,0,42.3,Rocky,,0.73,88.4,0.0,1.87,0.0,0.0,0.16,0.0,9.57,0.0,0.0,0.0,Trees,Trees
BOX_N44E136_0160,137.132393,45.375017,159.798517,105.01,186.68,-50.0,450.0,Trees,Trees,110.95,187.55,-125.0,500.0,Open water,Trees,109.19,1553.46,10.95,0.86,-4000.0,-149.8,0.00026,4.47397,1.05644,0.02889,0.02684,3,47.3,Rocky,,0.74,87.78,0.0,6.27,0.0,0.0,0.0,0.0,5.93,0.01,0.0,0.0,Trees,Trees
BOX_N44E136_0105,136.668299,45.038403,166.328262,23.43,23.43,25.0,25.0,Trees,Trees,4.12,8.29,-50.0,300.0,Trees,Trees,8.46,67.94,10.99,0.85,-4000.0,-117.5,0.00026,0.06103,0.16126,0.0013,0.00607,3,23.2,Sandy,,0.72,56.94,0.0,14.93,0.05,0.0,0.81,0.0,14.06,13.21,0.0,0.0,Trees,Trees
BOX_N44E136_0060,136.37013,44.804541,164.568154,1.59,39.15,575.0,1350.0,Herbaceous wetland,Trees,0.69,2.45,0.0,550.0,Barren / sparse vegetation,Herbaceous wetland,38.45,866.5,11.36,0.85,-4000.0,-31.7,0.00025,0.02163,0.01073,0.00042,0.00057,3,42.3,Sandy,,0.68,64.15,0.0,10.89,0.01,0.0,1.42,0.0,15.04,8.49,0.0,0.0,Trees,Trees
BOX_N44E136_0018,136.177138,44.522896,134.130566,98.53,122.75,-25.0,225.0,Trees,Trees,115.22,132.5,50.0,275.0,Trees,Trees,338.78,11456.68,11.38,0.85,-4000.0,-166.1,0.00026,0.53319,0.68424,0.0287,0.02504,3,60.3,Rocky,,0.62,88.26,0.0,4.09,0.0,0.0,0.81,0.0,6.83,0.0,0.0,0.0,Trees,Trees
BOX_N44E134_0041,135.780241,44.259276,152.387485,257.59,257.59,225.0,225.0,Trees,Trees,257.6,257.6,225.0,225.0,Trees,Trees,210.24,2501.19,11.73,0.85,-4000.0,-221.2,0.00026,0.57733,0.57549,0.06121,0.06121,3,29.9,Rocky,,0.53,91.62,0.0,2.07,0.0,0.0,0.39,0.0,5.92,0.0,0.0,0.0,Trees,Trees
BOX_N42E134_0221,135.509535,43.949259,81.724168,4.14,32.06,250.0,975.0,Cropland,Trees,4.38,24.05,250.0,1000.0,Cropland,Trees,8.85,47.67,11.74,11.74,-3104.7,170.8,0.00363,0.05536,0.06196,0.00485,0.00478,0,39.6,Sandy,,0.44,10.59,0.0,3.6,0.03,0.0,0.98,0.0,83.44,1.37,0.0,0.0,Open water,Trees
BOX_N42E134_0176,135.421964,43.760212,161.12057,153.32,285.86,125.0,650.0,Grassland,Grassland,126.02,288.12,25.0,625.0,Trees,Trees,211.0,3238.21,11.75,0.98,-4000.0,-229.2,0.0003,0.49575,0.43287,0.03159,0.03745,3,,Rocky,,0.39,88.34,0.0,5.45,0.0,0.0,1.1,0.0,5.11,0.0,0.0,0.0,Trees,Trees
BOX_N42E134_0145,135.230247,43.694553,81.256231,,,,,,,,,,,,,,,11.79,,,,,,,,,13,61.2,Rocky,,0.36,92.53,0.0,2.77,0.04,0.0,0.32,0.0,4.34,0.0,0.0,0.0,Trees,Trees
BOX_N42E134_0097,134.886002,43.408303,146.756441,90.66,148.31,450.0,1025.0,Trees,Trees,62.2,149.17,300.0,1025.0,Trees,Trees,168.51,2234.47,11.78,11.78,-561.3,137.5,0.01708,0.38278,0.29011,0.08608,0.10145,0,161.1,Rocky,,0.28,86.99,0.0,1.22,0.0,0.0,0.64,0.0,11.16,0.0,0.0,0.0,Trees,Trees
BOX_N42E134_0046,134.412413,43.148216,157.126846,113.22,252.18,200.0,775.0,Trees,Trees,83.31,121.77,0.0,275.0,Trees,Trees,192.39,8210.45,11.47,11.47,-862.3,-100.0,0.01525,0.83305,0.36277,0.11009,0.11752,0,46.3,Rocky,,0.23,92.29,0.0,0.96,0.0,0.0,0.57,0.0,6.18,0.0,0.0,0.0,Trees,Trees
BOX_N42E134_0002,134.008351,42.943911,122.05358,200.75,200.75,200.0,200.0,Trees,Trees,199.62,199.62,175.0,175.0,Trees,Trees,279.59,18326.29,11.45,11.45,-533.4,-123.9,0.02833,0.66786,0.61844,0.29817,0.28954,0,23.4,Rocky,,0.23,90.38,0.0,1.71,0.05,0.0,1.14,0.0,6.73,0.0,0.0,0.0,Trees,Trees
BOX_N42E132_0340,133.581034,42.828634,173.789128,115.29,115.29,-50.0,-50.0,Trees,Trees,60.05,115.94,-325.0,-75.0,Trees,Trees,55.4,1311.88,10.83,10.83,-1131.8,-399.4,0.015,0.80717,0.33016,0.08805,0.11673,0,45.7,Rocky,,0.26,83.44,0.38,9.36,0.62,0.0,0.65,0.0,4.75,0.79,0.0,0.0,Trees,Trees
BOX_N42E132_0293,133.146674,42.68777,168.855426,40.03,135.53,-150.0,500.0,Trees,Trees,38.58,137.65,-150.0,500.0,Trees,Trees,187.14,5490.64,10.77,10.77,-799.8,-273.9,0.02078,0.31139,0.32463,0.07619,0.07842,0,72.0,Rocky,,0.3,93.47,0.0,1.31,0.01,0.0,0.76,0.0,4.46,0.0,0.0,0.0,Trees,Trees
BOX_N42E132_0243,132.886358,42.809461,124.171498,2.58,70.14,-100.0,725.0,Built-up,Trees,2.71,65.94,-100.0,725.0,Built-up,Trees,52.0,1183.33,9.7,9.7,-3243.7,-148.0,0.00319,0.05643,0.0536,0.004,0.00396,0,70.0,Other,,0.31,64.38,0.0,1.51,2.85,22.6,2.82,0.0,5.84,0.0,0.0,0.0,Trees,Trees
BOX_N42E132_0196,132.735337,42.888106,76.875523,68.05,68.05,125.0,125.0,Trees,Trees,40.08,41.81,75.0,150.0,Trees,Trees,35.82,322.64,9.68,9.68,-1708.4,37.5,0.00563,1.06867,0.77767,0.02799,0.04248,0,23.4,Sandy,,0.31,50.24,0.0,5.78,1.79,2.57,1.4,0.0,38.2,0.02,0.0,0.0,Trees,Trees
BOX_N42E132_0153,132.400289,42.943657,137.112304,51.69,87.45,425.0,600.0,Trees,Trees,89.32,89.32,600.0,600.0,Trees,Trees,208.16,11979.75,9.64,9.64,-688.5,302.4,0.00989,0.30013,0.41582,0.07692,0.05522,0,98.6,Sandy,,0.31,83.93,0.0,1.34,0.19,0.3,0.1,0.0,12.03,2.1,0.0,0.0,Trees,Trees
BOX_N42E132_0112,132.315298,43.016781,240.391759,2.5,26.11,525.0,1350.0,Grassland,Trees,2.65,26.59,525.0,1350.0,Grassland,Trees,64.84,1255.7,9.63,9.63,-462.9,435.1,0.01091,0.02945,0.02822,0.0126,0.01244,0,23.7,Vegetated,,0.3,72.69,0.05,8.5,4.56,1.77,0.65,0.0,11.78,0.0,0.0,0.0,Trees,Trees
BOX_N42E132_0067,132.341769,43.26709,314.46072,27.11,73.4,50.0,750.0,Trees,Trees,26.11,59.05,50.0,650.0,Trees,Trees,36.9,186.26,,10.0,-695.3,-99.6,0.01707,0.17451,0.18242,0.04867,0.05001,2,66.5,Rocky,,0.27,71.33,0.01,6.53,4.97,0.5,9.09,0.0,7.57,0.0,0.0,0.0,Trees,Trees
BOX_N42E130_0701,131.957601,43.06509,278.403884,63.98,64.82,275.0,325.0,Trees,Grassland,46.61,60.78,200.0,325.0,Trees,Grassland,44.48,321.81,9.6,9.6,1.3,150.1,0.06566,0.93398,0.51309,0.28372,0.26946,0,95.8,Rocky,,0.31,2.59,0.24,2.76,0.37,0.7,0.16,0.0,93.18,0.0,0.0,0.0,Open water,Grassland
BOX_N42E132_0020,132.007359,43.254167,266.260042,15.59,44.34,100.0,750.0,Trees,Trees,12.1,14.96,0.0,325.0,Trees,Trees,22.41,71.22,,10.0,-508.8,-74.0,0.02344,0.16355,0.09243,0.04382,0.04235,2,98.6,Rocky,,0.28,74.42,0.28,1.26,3.14,11.94,2.3,0.0,6.66,0.0,0.0,0.0,Trees,Trees
BOX_N42E130_0498,131.807461,43.335432,248.131707,50.37,50.37,75.0,75.0,Trees,Trees,1.29,1.78,-150.0,-75.0,Open water,Trees,9.37,91.85,,,,-944.7,,0.00163,0.07251,,0.01458,23,340.2,Sandy,,0.27,33.0,0.19,3.44,18.04,1.3,0.07,0.0,41.27,2.68,0.0,0.0,Open water,Trees
BOX_N42E130_0446,131.677045,43.189344,94.610141,13.99,13.99,150.0,150.0,Trees,Trees,9.47,68.81,75.0,825.0,Trees,Trees,147.12,4510.68,,10.0,-2108.6,-70.6,0.005,0.06505,0.06289,0.00901,0.01071,2,256.0,Muddy,,0.31,87.41,0.02,1.27,0.79,0.0,0.01,0.0,10.45,0.06,0.0,0.0,Trees,Trees
BOX_N42E130_0395,131.469788,42.983557,186.626179,,,,,,,1.25,2.85,-175.0,525.0,Grassland,Herbaceous wetland,2.71,2.79,9.38,,,-265.9,,0.01376,,,,3,,Sandy,Salt-marshes,0.37,2.13,3.01,38.11,34.24,0.69,0.75,0.0,3.8,17.27,0.0,0.0,Grassland,Grassland
BOX_N42E130_0344,131.422969,42.855176,132.05773,38.65,91.17,250.0,575.0,Built-up,Grassland,14.32,87.73,100.0,575.0,Trees,Grassland,45.11,1160.05,9.38,9.38,-650.1,25.5,0.01413,0.19218,0.17208,0.03181,0.05354,0,48.0,Rocky,,0.4,39.03,0.0,20.3,1.67,6.67,1.86,0.0,30.46,0.0,0.0,0.0,Trees,Trees
BOX_N42E130_0297,131.207934,42.609058,21.979446,21.84,133.71,175.0,1050.0,Trees,Trees,21.9,133.93,175.0,1025.0,Trees,Grassland,189.02,17834.18,9.4,9.4,-80.7,125.5,0.04638,0.44243,0.44111,0.12305,0.12279,0,111.1,Rocky,,0.47,78.22,0.0,11.67,0.01,0.1,0.17,0.0,9.84,0.0,0.0,0.0,Trees,Trees
BOX_N42E130_0257,131.031023,42.642599,229.075968,51.76,58.86,425.0,525.0,Trees,Trees,8.83,16.15,300.0,950.0,Grassland,Trees,45.4,916.26,9.42,9.42,-404.1,201.4,0.01582,0.08956,0.23296,0.02615,0.07399,0,48.7,Sandy,,0.5,27.79,0.0,55.05,1.54,1.36,1.06,0.0,11.38,1.82,0.0,0.0,Grassland,Grassland
BOX_N42E130_0243,130.915633,42.656276,171.617685,6.63,6.63,50.0,50.0,Grassland,Grassland,5.06,5.06,75.0,75.0,Grassland,Grassland,20.97,227.99,9.43,7.83,-2800.0,-38.6,0.0029,0.04457,0.08304,0.00454,0.00513,3,47.3,Vegetated,,0.52,29.93,0.02,47.09,1.48,0.81,0.96,0.0,11.17,8.54,0.0,0.0,Grassland,Grassland
BOX_N42E130_0197,130.701229,42.632758,53.453678,20.67,34.61,400.0,725.0,Grassland,Grassland,1.83,34.25,200.0,775.0,Grassland,Grassland,18.52,87.73,9.44,9.44,-925.3,137.5,0.00903,0.02925,0.07876,0.01016,0.02284,0,32.0,Sandy,,0.57,18.91,0.0,64.32,0.17,0.19,0.07,0.0,10.11,6.24,0.0,0.0,Grassland,Grassland
BOX_N42E130_0156,130.836212,42.470835,139.233984,55.09,226.83,-100.0,675.0,Grassland,Trees,49.54,230.21,-100.0,675.0,Grassland,Trees,144.78,4306.6,9.44,9.44,-192.1,-178.5,0.70617,0.63105,0.71359,0.64215,0.70625,0,45.9,Rocky,,0.57,53.77,0.0,25.71,0.01,0.15,0.56,0.0,19.63,0.17,0.0,0.0,Trees,Trees
BOX_N42E130_0125,130.690854,42.28935,66.195278,0.5,0.94,-100.0,125.0,Herbaceous wetland,Grassland,0.56,0.82,-250.0,-125.0,Herbaceous wetland,Herbaceous wetland,0.36,0.05,9.47,9.47,-1131.1,-526.8,0.01594,0.00201,0.00117,0.01156,0.00983,0,308.9,Sandy,,0.61,0.0,0.0,5.18,2.07,0.0,7.33,0.0,72.13,13.29,0.0,0.0,Open water,Herbaceous wetland
BOX_N42E130_0078,130.400547,42.25308,104.075558,56.47,56.47,50.0,50.0,Trees,Trees,12.07,13.27,-50.0,50.0,Trees,Trees,33.78,577.48,9.89,9.89,-73.2,-62.6,0.94784,0.95788,0.50149,0.9533,0.53989,0,46.6,Rocky,,0.66,32.92,0.27,3.45,11.01,0.99,1.56,0.0,49.79,0.01,0.0,0.0,Open water,Trees
BOX_N42E130_0036,130.181792,42.108162,240.983343,32.3,32.3,450.0,450.0,Cropland,Cropland,27.19,27.19,400.0,400.0,Cropland,Cropland,17.76,56.07,9.89,8.8,-2400.0,286.7,0.00333,0.23995,0.18198,0.01291,0.01448,3,58.8,Rocky,,0.69,4.41,0.11,6.25,2.72,0.36,1.13,0.0,85.03,0.0,0.0,0.0,Open water,Grassland
BOX_N40E128_0381,129.98228,41.950619,28.536683,11.69,24.57,275.0,450.0,Built-up,Cropland,14.34,14.42,325.0,375.0,Cropland,Cropland,19.52,204.83,9.89,9.89,-663.5,128.6,0.01269,0.07302,0.08206,0.02468,0.02316,0,46.6,Sandy,,0.7,6.96,0.05,12.33,23.84,1.85,3.83,0.0,50.79,0.36,0.0,0.0,Open water,Cropland
BOX_N40E128_0338,129.749225,41.708837,109.697872,0.5,2.2,350.0,1000.0,Cropland,Cropland,0.81,2.53,375.0,1050.0,Cropland,Cropland,4.32,5.58,9.9,9.9,-379.4,123.1,0.02002,0.00323,0.00221,0.01441,0.01448,0,64.5,Sandy,,0.69,7.66,0.02,3.3,61.55,8.75,8.1,0.0,10.42,0.19,0.0,0.0,Cropland,Cropland
BOX_N40E128_0291,129.800552,41.370096,106.463979,58.46,58.46,100.0,100.0,Grassland,Grassland,57.97,57.97,100.0,100.0,Grassland,Grassland,17.5,550.8,9.91,9.91,-75.0,25.6,0.10004,0.77914,0.78155,0.38875,0.39156,0,23.4,Rocky,,0.64,13.53,0.0,20.49,23.21,13.66,19.4,0.0,9.62,0.09,0.0,0.0,Cropland,Cropland
BOX_N40E128_0247,129.725643,41.011449,78.760006,80.21,114.39,200.0,425.0,Trees,Trees,81.04,120.1,200.0,425.0,Trees,Trees,81.43,3522.01,9.87,9.87,-91.7,-12.5,0.12657,0.38137,0.37746,0.31219,0.30934,0,23.2,Rocky,,0.59,75.13,0.09,2.83,10.6,0.44,2.21,0.0,8.58,0.11,0.0,0.0,Trees,Trees
BOX_N40E128_0196,129.488709,40.794388,172.477802,1.41,1.51,150.0,925.0,Cropland,Cropland,1.52,1.64,175.0,225.0,Barren / sparse vegetation,Cropland,40.48,1675.07,9.72,9.72,-67.3,124.3,0.05155,0.02994,0.05497,0.04703,0.05196,0,38.6,Sandy,,0.58,16.97,0.44,11.65,55.81,0.6,3.26,0.0,10.31,0.95,0.0,0.0,Cropland,Cropland
BOX_N40E128_0149,129.157857,40.568079,133.870093,3.55,187.53,200.0,1125.0,Barren / sparse vegetation,Grassland,2.23,150.28,200.0,950.0,Barren / sparse vegetation,Trees,147.95,5326.42,9.89,9.89,-309.9,174.2,0.02073,0.08656,0.1375,0.02407,0.02664,0,23.0,Sandy,,0.58,60.64,0.03,12.33,12.16,1.12,2.44,0.0,11.28,0.0,0.0,0.0,Trees,Trees
BOX_N40E128_0097,128.683222,40.326541,135.896689,7.41,7.41,175.0,175.0,Trees,Trees,4.39,7.64,175.0,950.0,Trees,Cropland,18.59,176.2,9.89,9.89,-467.7,112.5,0.01731,0.07022,0.11861,0.02245,0.02716,0,42.4,Sandy,,0.59,10.05,0.09,2.08,68.04,1.48,3.34,0.0,10.61,4.31,0.0,0.0,Cropland,Cropland
BOX_N40E128_0050,128.412237,40.102573,175.301587,0.92,5.08,-75.0,225.0,Barren / sparse vegetation,Trees,,,,,,,,,9.9,,,,,,0.03584,,0.24473,13,100.0,Sandy,Salt-marshes,0.57,1.14,0.0,3.58,59.16,2.09,7.73,0.0,25.75,0.55,0.0,0.0,Cropland,Cropland
BOX_N40E128_0004,128.032392,40.051309,205.030597,2.5,52.26,275.0,850.0,Barren / sparse vegetation,Trees,3.46,45.09,275.0,875.0,Barren / sparse vegetation,Trees,82.12,1947.63,9.9,9.9,-460.9,237.5,0.01439,0.0924,0.0667,0.01836,0.01706,0,42.8,Rocky,,0.54,36.84,0.03,13.73,30.4,1.59,5.0,0.0,12.38,0.04,0.0,0.0,Trees,Trees
BOX_N38E126_0249,127.782512,39.861515,149.44969,56.52,131.88,-225.0,525.0,Trees,Trees,39.76,134.78,-275.0,500.0,Trees,Trees,96.0,2503.25,9.9,9.9,-812.7,-352.2,0.02183,0.51498,0.44433,0.09264,0.11328,0,23.2,Rocky,,0.49,53.56,0.06,15.1,13.88,5.98,6.5,0.0,4.93,0.0,0.0,0.0,Trees,Trees
BOX_N38E126_0202,127.542311,39.640174,57.09325,23.86,40.78,-125.0,50.0,Trees,Grassland,13.76,15.56,-175.0,-50.0,Barren / sparse vegetation,Trees,88.21,4354.23,9.9,9.9,-634.7,-200.6,0.02316,0.53755,0.31556,0.05181,0.06653,0,46.4,Sandy,,0.45,65.81,0.09,4.55,22.62,0.33,1.51,0.0,5.1,0.0,0.0,0.0,Trees,Trees
BOX_N38E126_0152,127.530793,39.351874,300.818326,51.58,51.58,-150.0,-150.0,Trees,Trees,11.05,35.03,-175.0,575.0,Trees,Trees,52.94,1188.9,9.9,9.9,-1279.5,-299.5,0.01027,0.08875,0.34522,0.01912,0.05457,0,45.9,Rocky,,0.42,41.35,0.29,4.05,9.6,0.66,2.53,0.0,41.51,0.0,0.0,0.0,Open water,Trees
BOX_N38E126_0060,127.561096,39.151004,5.364857,98.1,98.1,450.0,450.0,Trees,Trees,11.5,86.23,100.0,700.0,Built-up,Trees,71.94,2088.19,9.9,9.9,-729.1,30.5,0.01325,0.16542,0.24404,0.026,0.09174,0,71.6,Rocky,,0.41,70.8,0.06,8.91,9.05,0.63,2.68,0.0,7.85,0.02,0.0,0.0,Trees,Trees
BOX_N38E126_0015,127.900654,38.959571,64.21333,0.82,10.73,0.0,325.0,Barren / sparse vegetation,Trees,1.22,6.45,0.0,400.0,Barren / sparse vegetation,Built-up,2.12,2.44,9.91,9.91,-1702.9,-50.8,0.00609,0.02407,0.01613,0.00662,0.00639,0,44.3,Sandy,,0.43,8.42,0.01,1.29,50.35,22.02,6.51,0.0,9.59,1.81,0.0,0.0,Cropland,Cropland
BOX_N38E128_0105,128.270614,38.754094,16.264204,10.43,35.6,0.0,350.0,Trees,Cropland,5.75,25.18,-50.0,725.0,Barren / sparse vegetation,Trees,29.91,1330.49,9.91,9.91,-558.6,-121.2,0.02299,0.08077,0.0891,0.03108,0.03668,0,66.0,Vegetated,,0.46,41.17,0.06,6.65,15.47,0.66,2.99,0.0,29.43,3.57,0.0,0.0,Trees,Trees
BOX_N38E128_0051,128.508268,38.370555,68.462098,43.4,43.4,-225.0,-225.0,Barren / sparse vegetation,Barren / sparse vegetation,5.61,11.42,-350.0,500.0,Barren / sparse vegetation,Trees,38.71,788.94,10.31,10.31,-953.0,-364.3,0.01776,0.39197,0.3041,0.02664,0.07397,0,22.7,Rocky,,0.48,59.82,0.0,17.33,7.02,5.48,6.9,0.0,3.45,0.0,0.0,0.0,Trees,Trees
BOX_N36E128_0291,128.7603,37.975327,61.924212,10.45,70.71,125.0,925.0,Built-up,Trees,8.76,17.56,150.0,600.0,Barren / sparse vegetation,Trees,83.05,5187.0,10.34,10.34,-908.5,47.0,0.01097,0.08504,0.13402,0.01818,0.02026,0,71.7,Sandy,,0.52,76.29,0.0,1.27,6.33,5.32,3.58,0.0,7.21,0.0,0.0,0.0,Trees,Trees
BOX_N36E128_0241,129.063132,37.616261,51.923926,41.39,154.5,225.0,725.0,Barren / sparse vegetation,Barren / sparse vegetation,11.83,156.87,75.0,725.0,Built-up,Barren / sparse vegetation,85.09,2477.68,10.98,10.98,-689.6,54.8,0.01493,0.58586,0.24378,0.03001,0.05741,0,58.1,Rocky,,0.56,18.98,0.0,50.4,7.52,6.3,6.61,0.0,10.19,0.0,0.0,0.0,Grassland,Grassland
BOX_N36E128_0185,129.345695,37.212109,87.648382,91.77,112.57,225.0,425.0,Trees,Trees,30.74,113.43,-25.0,425.0,Trees,Trees,154.18,3577.92,11.62,11.62,-399.8,-89.2,0.03779,0.47885,0.2884,0.11334,0.16566,0,72.0,Rocky,,0.59,86.77,0.0,0.78,0.94,2.15,2.56,0.0,6.8,0.0,0.0,0.0,Trees,Trees
BOX_N36E128_0135,129.463144,36.792949,71.733125,54.62,54.62,175.0,175.0,Trees,Trees,10.11,17.39,75.0,325.0,Trees,Cropland,69.01,3874.83,12.75,12.75,-807.5,25.7,0.01542,0.20497,0.3673,0.02601,0.06867,0,91.7,Rocky,,0.62,70.08,0.0,2.27,9.32,2.9,5.83,0.0,9.6,0.0,0.0,0.0,Trees,Trees
BOX_N36E128_0081,129.38662,36.347411,105.878648,56.32,56.32,250.0,250.0,Barren / sparse vegetation,Barren / sparse vegetation,5.56,32.94,-25.0,375.0,Built-up,Trees,51.08,2263.32,12.75,12.75,-710.3,-53.3,0.01955,0.19657,0.18263,0.02686,0.07202,0,44.3,Rocky,,0.63,65.74,0.0,5.94,5.99,9.12,5.61,0.0,7.59,0.01,0.0,0.0,Trees,Trees
BOX_N36E128_0021,129.481963,36.015193,329.221808,67.85,99.46,250.0,900.0,Trees,Trees,27.15,89.07,75.0,875.0,Trees,Trees,107.75,1783.53,12.36,12.36,-1426.8,-49.6,0.00904,0.21793,0.21965,0.02637,0.04789,0,146.4,Rocky,,0.65,85.13,0.0,1.91,1.06,3.15,0.94,0.0,7.82,0.0,0.0,0.0,Trees,Trees
BOX_N34E128_1255,129.493283,35.775203,92.83646,70.7,77.02,475.0,550.0,Grassland,Grassland,51.22,77.5,250.0,575.0,Barren / sparse vegetation,Barren / sparse vegetation,121.59,3924.34,12.34,12.34,-761.6,-157.7,0.0207,0.12563,0.11035,0.06299,0.06728,0,80.9,Other,,0.65,66.81,0.0,11.24,5.8,5.36,6.0,0.0,4.78,0.01,0.0,0.0,Trees,Trees
BOX_N34E128_1206,129.361477,35.541233,47.215235,,,,,,,,,,,,,,,12.33,,,,,,,,,13,123.4,Other,,0.65,39.63,0.0,3.64,2.34,38.41,3.14,0.0,12.84,0.01,0.0,0.0,Trees,Trees
BOX_N34E128_1160,129.241377,35.260395,41.503719,54.05,62.06,575.0,800.0,Trees,Trees,4.1,20.47,475.0,950.0,Trees,Trees,16.0,46.82,12.33,12.33,-3609.5,415.9,0.00317,0.06931,0.3206,0.00413,0.01597,0,97.8,Rocky,Salt-marshes,0.65,36.99,0.0,2.05,6.99,31.47,8.44,0.0,14.04,0.03,0.0,0.0,Trees,Trees
BOX_N34E128_0619,129.081174,35.07955,67.720456,11.5,11.5,125.0,125.0,Built-up,Built-up,12.49,25.77,125.0,900.0,Built-up,Built-up,55.24,1914.24,,10.0,-888.2,26.6,0.01157,0.1269,0.11894,0.02277,0.0218,2,36.1,Other,,0.65,18.46,0.0,1.01,0.56,28.06,3.06,0.0,48.86,0.0,0.0,0.0,Open water,Built-up
BOX_N34E128_1093,128.930092,35.102968,129.700796,2.63,2.63,125.0,125.0,Built-up,Built-up,0.47,1.72,-575.0,300.0,Herbaceous wetland,Built-up,2.06,99.18,,1.3,-3625.0,-637.8,0.00067,0.00755,0.00354,0.00081,,23,1215.4,Other,,0.65,10.64,0.01,2.3,13.6,32.01,17.41,0.0,23.93,0.1,0.0,0.0,Built-up,Built-up
BOX_N34E128_1017,128.673208,35.12686,122.200067,203.77,203.77,175.0,175.0,Trees,Trees,23.25,204.12,-400.0,175.0,Trees,Trees,52.7,3222.88,,10.0,-2166.7,-427.1,0.00619,0.85801,0.33843,0.01925,0.09161,2,23.4,Rocky,,0.64,41.68,0.0,0.93,1.82,16.23,1.97,0.0,37.37,0.0,0.0,0.0,Trees,Trees
BOX_N34E128_0971,128.58796,35.064185,299.686563,67.33,67.33,-600.0,-600.0,Barren / sparse vegetation,Barren / sparse vegetation,10.45,10.45,-700.0,-700.0,Trees,Trees,38.2,1478.34,,4.67,-3100.0,-798.5,0.00243,0.10605,0.33713,0.00668,0.02917,23,1895.4,Vegetated,,0.65,29.15,0.0,0.36,0.45,0.12,0.27,0.0,69.66,0.0,0.0,0.0,Open water,Trees
